City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Gangapur,IN,72.5,clear sky,26.4833,76.7167,OYO 45271 Hotel Haveli
5,Carora,VE,82.74,overcast clouds,10.1755,-70.0827,Hotel Irpinia
6,Portland,US,83.98,haze,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
9,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
15,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
19,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
21,Tevaitoa,PF,79.03,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
22,Rikitea,PF,72.25,clear sky,-23.1203,-134.9692,People ThankYou
23,Guaruja,BR,71.89,overcast clouds,-23.9931,-46.2564,Charme Hotel Guarujá
27,Kapaa,US,83.1,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Ritchie,ZA,72.61,scattered clouds,-29.038,24.6028,Riverside Country Club Modderrivier
34,Victoria,HK,78.33,scattered clouds,22.2855,114.1577,Mini Central
37,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
38,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
41,Katsuura,JP,70.68,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
42,Georgetown,MY,80.24,scattered clouds,5.4112,100.3354,Cititel Penang
45,Ponta Do Sol,PT,73.0,overcast clouds,32.6667,-17.1,Hotel do Campo
48,Lompoc,US,78.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
55,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
57,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
63,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
64,Marsa Matruh,EG,73.6,clear sky,31.3525,27.2453,Beau Site
65,Saint George,US,84.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Ambilobe,MG,72.68,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
70,Acapulco,MX,82.69,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
72,Hithadhoo,MV,81.0,few clouds,-0.6,73.0833,Scoop Guest House
73,Mareeba,AU,70.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
74,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Puerto Escondido,MX,84.16,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
77,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
80,Angoche,MZ,74.62,clear sky,-16.2325,39.9086,Guest House HESADA
84,Russell,US,79.88,clear sky,32.3502,-85.1999,Macs
85,Bonthe,SL,77.83,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
86,Gat,IL,72.28,few clouds,31.61,34.7642,OlusHome
88,Salalah,OM,75.9,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
90,Ramgarh,IN,77.05,broken clouds,23.6333,85.5167,HOTEL TREAT RESIDENCY
93,Atuona,PF,77.16,light rain,-9.8,-139.0333,Villa Enata
99,Boundiali,CI,73.33,light rain,9.5217,-6.4869,Hotel Paysan Boundiali
100,Los Algarrobos,PA,77.41,moderate rain,8.5,-82.4333,Waterfall Hostel
102,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
108,Coruripe,BR,74.53,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
109,Isangel,VU,73.51,broken clouds,-19.55,169.2667,Tanna Lodge
110,Manggar,ID,77.04,broken clouds,-2.8833,108.2667,Guest Hotel
115,Port Blair,IN,79.56,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
117,Yaring,TH,75.63,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
118,Dicabisagan,PH,76.64,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
121,Padang,ID,76.1,overcast clouds,-0.9492,100.3543,Mercure Padang
125,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
128,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
132,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
135,Vanimo,PG,77.02,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
140,Kota Bahru,MY,76.95,few clouds,6.1333,102.2386,Grand Riverview Hotel
141,Presidente Medici,BR,79.79,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
146,Gorontalo,ID,75.74,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
150,Guerrero Negro,MX,72.18,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
155,Touros,BR,78.04,clear sky,-5.1989,-35.4608,INN NEW HORIZON
156,Naze,JP,77.92,light rain,28.3667,129.4833,Shishime Hotel
159,Kavaratti,IN,81.25,light rain,10.5669,72.642,Green leaf
161,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
164,Bundaberg,AU,72.21,overcast clouds,-24.85,152.35,Takalvan Motel
167,Marapanim,BR,81.48,scattered clouds,-0.7175,-47.6997,Ecomangue Pousada
170,San Clemente,US,73.85,clear sky,33.427,-117.612,Casablanca Inn
173,Puerto Baquerizo Moreno,EC,70.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
174,Bengkulu,ID,74.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
175,Mitsamiouli,KM,75.13,clear sky,-11.3847,43.2844,Foyer ADM
176,Carson City,US,81.63,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
177,Castro Verde,PT,72.82,clear sky,37.6983,-8.0858,Hotel A Esteva
179,Pandan,PH,79.2,few clouds,14.0453,124.1694,Bonifacio Lodge
186,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
187,Cadiz,ES,73.13,clear sky,36.5,-5.75,Hacienda Barriche
189,Jieshi,CN,72.09,few clouds,22.8134,115.8257,Yuehai Hotel
197,Dwarka,IN,82.15,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
201,Port-Gentil,GA,76.96,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
202,Hasaki,JP,70.21,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
205,Waingapu,ID,78.15,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
210,Tamiahua,MX,84.6,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
212,Talcher,IN,74.26,few clouds,20.95,85.2167,Hotel Green Park
214,Ca Mau,VN,74.23,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
215,Kampene,CD,72.27,overcast clouds,-3.6,26.6667,
216,Kismayo,SO,77.02,overcast clouds,-0.3582,42.5454,Agan-Hotel
220,Ocos,GT,82.58,light rain,14.5094,-92.1933,Auto Hotel El Soñador
