City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Gangapur,IN,26.4833,76.7167,72.5,54,0,1.12,clear sky
1,Saldanha,ZA,-33.0117,17.9442,59.05,85,2,18.75,clear sky
2,Hermanus,ZA,-34.4187,19.2345,58.8,82,100,15.59,overcast clouds
3,Barrow,US,71.2906,-156.7887,28.42,64,100,13.8,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,51.46,62,40,9.22,scattered clouds
5,Carora,VE,10.1755,-70.0827,82.74,63,98,6.15,overcast clouds
6,Portland,US,45.5234,-122.6762,83.98,44,20,5.01,haze
7,Bluff,NZ,-46.6,168.3333,56.8,68,2,6.26,clear sky
8,Severo-Kurilsk,RU,50.6789,156.125,44.91,89,20,8.01,few clouds
9,Butaritari,KI,3.0707,172.7902,81.79,75,100,17.87,overcast clouds
10,Hamilton,US,39.1834,-84.5333,67.98,20,0,17.27,clear sky
11,Mataura,NZ,-46.1927,168.8643,56.48,59,2,2.64,clear sky
12,Mar Del Plata,AR,-38.0023,-57.5575,53.94,63,0,14.0,clear sky
13,Leningradskiy,RU,69.3833,178.4167,13.39,76,58,5.59,broken clouds
14,Hilo,US,19.7297,-155.09,91.27,72,20,9.22,few clouds
15,Vaini,TO,-21.2,-175.2,78.96,83,20,14.97,few clouds
16,Ancud,CL,-41.8697,-73.8203,53.83,68,36,3.67,scattered clouds
17,Mayo,US,38.8876,-76.5119,69.94,45,0,10.36,clear sky
18,Tongzhou,CN,39.9053,116.5994,48.31,93,97,4.47,mist
19,Avarua,CK,-21.2078,-159.775,78.85,78,100,11.5,overcast clouds
20,Ostrovnoy,RU,68.0531,39.5131,43.16,97,100,3.53,light rain
21,Tevaitoa,PF,-16.7833,-151.5,79.03,72,4,9.82,clear sky
22,Rikitea,PF,-23.1203,-134.9692,72.25,74,0,5.84,clear sky
23,Guaruja,BR,-23.9931,-46.2564,71.89,39,100,8.05,overcast clouds
24,Clyde River,CA,70.4692,-68.5914,23.23,86,75,3.44,broken clouds
